word,term_id
terni,2091
niccolò,2092
palumbo,2093
maîtr,2094
lorenzo,2095
catucci,2096
dynam,2097
entrepreneur,2098
scale,2099
mouthwat,2100
colonnata,2101
lardo,2102
chestnut,2103
prato,2104
recycl,2105
ampezzo,2106
file,2107
carri,2108
incompar,2109
gaspari,2110
refresh,2111
notic,2112
visibl,2113
sugar,2114
sanbrit,2115
liter,2116
healthi,2117
pastur,2118
evok,2119
villadorata,2120
noto,2121
viviana,2122
vares,2123
carnaghi,2124
weekday,2125
entir,2126
barbecu,2127
1959,2128
longest,2129
aquila,2130
nostalg,2131
antipasti,2132
slice,2133
spinach,2134
zabaion,2135
sambuca,2136
semifreddo,2137
show,2138
arnaldo,2139
calf,2140
pig,2141
trotter,2142
gravi,2143
sfoglin,2144
maker,2145
bramea,2146
proprietor,2147
characteris,2148
seafront,2149
miki,2150
monterosso,2151
nino,2152
costanzo,2153
maqui,2154
shrub,2155
watch,2156
extrem,2157
concept,2158
contaminazioni,2159
dimora,2160
ulmo,2161
mano,2162
libera,2163
sassi,2164
paradis,2165
modica,2166
baron,2167
youth,2168
hostelri,2169
cosi,2170
late,2171
josta,2172
fregula,2173
mullet,2174
saba,2175
modena,2176
oldest,2177
pomposa,2178
rebuilt,2179
1717,2180
apart,2181
luca,2182
marchini,2183
abl,2184
signora,2185
gianello,2186
fell,2187
bought,2188
feminin,2189
strawberri,2190
berri,2191
gather,2192
institut,2193
seclud,2194
pineta,2195
nondescript,2196
pordenon,2197
aviano,2198
magredi,2199
150th,2200
birthday,2201
all,2202
nazioni,2203
curtaton,2204
mincio,2205
beacon,2206
pumpkin,2207
salsa,2208
slow,2209
emblem,2210
versilia,2211
40,2212
1981,2213
chiara,2214
regularli,2215
guarante,2216
bake,2217
mayonnais,2218
prais,2219
non,2220
burgundi,2221
vibrant,2222
gabicc,2223
posillipo,2224
imagna,2225
cannelloni,2226
guancialino,2227
mouss,2228
crumb,2229
marzipan,2230
svevo,2231
assunta,2232
quintessenza,2233
capabl,2234
gennaro,2235
stefano,2236
puglia,2237
17c,2238
soak,2239
panissa,2240
naval,2241
rex,2242
transatlant,2243
liner,2244
slightli,2245
cement,2246
fact,2247
heavi,2248
toku,2249
yoji,2250
tokuyoshi,2251
horsemeat,2252
